seed,steps,alive,combos,pass,pass_core,combos_accepted,gini_last,shannon_H_last,gini_mean_real,shannon_H_mean_real,f_frozen,f_liquid,f_chaos,deaths_starvation,deaths_combat,guardian_version,guardian_interventions,austerity_count,stimulate_count,cooldown_count,behavior_triggers,physics_triggers,C_t_final,share_rate_max,ratio_sg_max,first_step_share_over_0_7
42,5000,180,87,0,1,87,0.458,1.415,0.4214,1.4966,0.0,0.0187,0.9813,0,0,7.0.0-dual-loop-minimal,50,0,3,47,0,50,15.9599,0.2394,0.4733,
43,5000,145,61,0,1,61,0.4232,1.061,0.4065,1.1362,0.0,1.0,0.0,9,0,7.0.0-dual-loop-minimal,7,0,7,0,0,3929,12.4028,0.4946,1.0149,
44,5000,182,62,1,1,62,0.1211,0.847,0.1909,1.099,0.0374,0.9346,0.028,0,0,7.0.0-dual-loop-minimal,27,26,1,0,26,35,12.4144,0.9599,26.743,141
45,5000,189,185,0,1,185,0.3948,1.412,0.4277,1.5561,0.0,0.0187,0.9813,0,0,7.0.0-dual-loop-minimal,50,0,3,47,0,50,16.3345,0.3166,0.9287,
46,5000,132,76,0,1,76,0.6498,1.276,0.5599,1.2167,0.0,1.0,0.0,1,0,7.0.0-dual-loop-minimal,14,0,10,4,0,2759,12.978,0.0072,0.0084,
47,5000,197,198,0,1,198,0.4442,1.084,0.4835,1.143,0.0,1.0,0.0,0,0,7.0.0-dual-loop-minimal,25,2,3,20,2,87,14.6112,0.6432,1.8235,
48,5000,195,105,1,1,105,0.0989,0.143,0.0957,0.8756,0.3458,0.6168,0.0374,0,0,7.0.0-dual-loop-minimal,28,20,2,6,20,8,5.2891,0.886,7.8968,141
49,5000,192,65,1,1,65,0.3297,0.983,0.3004,1.0057,0.0,1.0,0.0,0,0,7.0.0-dual-loop-minimal,3,0,3,0,0,3110,13.7416,0.3293,0.5023,
50,5000,188,86,1,1,86,0.1043,0.522,0.1491,1.0446,0.1963,0.7664,0.0374,0,0,7.0.0-dual-loop-minimal,32,27,2,3,27,5,9.9062,0.9552,23.2343,141
51,5000,187,58,1,1,58,0.1135,0.583,0.1441,1.0218,0.2243,0.7664,0.0093,0,0,7.0.0-dual-loop-minimal,27,26,1,0,26,1,10.4374,0.946,19.3303,141
52,5000,194,86,1,1,86,0.0986,0.178,0.0924,0.8107,0.4299,0.5421,0.028,0,0,7.0.0-dual-loop-minimal,14,12,2,0,12,2,5.8778,0.9303,14.2115,141
53,5000,186,55,1,1,55,0.117,0.843,0.1996,1.1096,0.0561,0.9065,0.0374,0,0,7.0.0-dual-loop-minimal,28,26,1,1,26,9,12.5187,0.9448,18.6718,141
54,5000,200,201,1,1,201,0.2547,0.845,0.312,1.0087,0.0,1.0,0.0,0,0,7.0.0-dual-loop-minimal,9,0,3,6,0,157,13.0023,0.4187,0.753,
55,5000,133,40,0,1,40,0.9687,0.08,0.8078,0.2983,0.9252,0.0748,0.0,0,0,7.0.0-dual-loop-minimal,50,0,50,0,0,50,3.2583,0.0075,0.0135,
56,5000,136,69,0,1,69,0.3992,0.982,0.3865,1.0293,0.0,1.0,0.0,0,0,7.0.0-dual-loop-minimal,29,0,29,0,0,1844,11.5586,0.4502,0.8191,
57,5000,187,101,1,1,101,0.1331,1.009,0.0952,0.763,0.486,0.5047,0.0093,0,0,7.0.0-dual-loop-minimal,22,14,2,6,14,8,13.7356,0.8305,5.597,141
58,5000,152,79,0,1,79,0.5145,1.109,0.4448,1.0623,0.0,1.0,0.0,6,0,7.0.0-dual-loop-minimal,4,0,4,0,0,3162,12.9838,0.4954,0.9912,
59,5000,189,104,0,1,104,0.4608,1.492,0.4242,1.5397,0.0,0.0187,0.9813,0,0,7.0.0-dual-loop-minimal,50,0,3,47,0,50,16.7924,0.2352,0.4728,
60,5000,150,59,0,1,59,0.4439,1.15,0.4237,1.1544,0.0,1.0,0.0,4,0,7.0.0-dual-loop-minimal,3,0,3,0,0,4309,13.1339,0.4984,1.0141,
61,5000,198,51,0,1,51,0.3385,0.992,0.3077,1.0263,0.0,1.0,0.0,0,0,7.0.0-dual-loop-minimal,3,0,3,0,0,3362,14.0135,0.3345,0.5221,
